actor,name,year,variable,type,BirthYear,gender,age
黄磊,似水年华,2003,actor1,drama,1971,男,32
黄磊,男人帮,2011,actor2,drama,1971,男,40
黄梅莹,新结婚时代,2006,actor5,drama,1950,女,56
黄勐,与青春有关的日子,2006,actor3,drama,1976,男,30
黄维德,琅琊榜,2015,actor5,drama,1971,男,44
黄维德,京华烟云,2005,actor5,drama,1971,男,34
黄晓明,鹿鼎记,2008,actor1,drama,1977,男,31
黄晓明,大汉天子,2002,actor4,drama,1977,男,25
黄晓明,琅琊榜之风起长林,2017,actor1,drama,1977,男,40
黄晓明,神雕侠侣,2006,actor2,drama,1977,男,29
黄轩,芈月传,2015,actor4,drama,1985,男,30
黄奕,上错花轿嫁对郎,2001,actor1,drama,1979,女,22
黄奕,还珠格格第三部,2003,actor1,drama,1979,女,24
黄志忠,大明王朝1566,2007,actor2,drama,1969,男,38
黄志忠,人间正道是沧桑,2009,actor2,drama,1969,男,40
黄智贤,逆水寒,2004,actor5,drama,1967,男,37
霍建华,花千骨,2015,actor1,drama,1979,男,36
霍建华,笑傲江湖,2013,actor1,drama,1979,男,34
霍建华,怪侠一枝梅,2010,actor1,drama,1979,男,31
霍建华,天下第一,2005,actor3,drama,1979,男,26
霍建华,仙剑奇侠传三,2009,actor2,drama,1979,男,30
霍建华,如懿传,2018,actor2,drama,1979,男,39
霍建华,他来了，请闭眼,2015,actor1,drama,1979,男,36
霍建华,战长沙,2014,actor1,drama,1979,男,35
霍思燕,贫嘴张大民的幸福生活,2000,actor3,drama,1980,女,20
季晨,沙海,2018,actor5,drama,1981,男,37
贾静雯,倚天屠龙记,2003,actor2,drama,1974,女,29
贾静雯,至尊红颜,2003,actor1,drama,1974,女,29
贾静雯,大汉天子,2002,actor3,drama,1974,女,28
贾静雯,小李飞刀,1999,actor2,drama,1974,女,25
贾乃亮,最美的时光,2013,actor3,drama,1984,男,29
贾妮,橘子红了,2002,actor5,drama,1969,女,33
贾一平,中国式离婚,2004,actor5,drama,1977,男,27
菅纫姿,何以笙箫默,2015,actor5,drama,1991,女,24
江奇霖,太子妃升职记,2015,actor4,drama,1985,男,30
江奇霖,结爱·千岁大人的初恋,2018,actor5,drama,1985,男,33
江一燕,我们无处安放的青春,2007,actor3,drama,1983,女,24
姜超,武林外传,2006,actor5,drama,1975,男,31
姜超,炊事班的故事,2002,actor5,drama,1975,男,27
姜超,转角遇到爱,2007,actor4,drama,1975,男,32
姜华,男才女貌,2003,actor3,drama,1983,女,20
姜武,别了，温哥华,2004,actor4,drama,1969,男,35
蒋劲夫,轩辕剑之天之痕,2012,actor2,drama,1991,男,21
蒋勤勤,风云,2002,actor4,drama,1975,女,27
蒋勤勤,半生缘,2002,actor2,drama,1975,女,27
蒋勤勤,乔家大院,2006,actor2,drama,1975,女,31
