actor,name,year,variable,type,BirthYear,gender,age
雷内·奥博诺伊斯,波士顿法律 第一季 Boston Legal Season 1,2004,actor1,drama,1940,男,64
蕾亚·塞洪,风骚律师 第四季 Better Call Saul Season 4,2018,actor3,drama,1972,女,46
蕾亚·塞洪,风骚律师 第一季 Better Call Saul Season 1,2015,actor2,drama,1972,女,43
李美琪,妮基塔 第一季 Nikita Season 1,2010,actor1,drama,1979,女,31
理查德·詹金斯,奥丽芙·基特里奇 Olive Kitteridge,2014,actor2,drama,1947,男,67
丽莎·艾德尔斯汀,豪斯医生 第一季 House M.D. Season 1,2004,actor2,drama,1966,女,38
丽莎·库卓,老友记  第九季 Friends Season 9,2002,actor3,drama,1963,女,39
丽莎·库卓,老友记 第十季 Friends Season 10,2003,actor3,drama,1963,女,40
丽莎·库卓,老友记  第六季 Friends Season 6,1999,actor3,drama,1963,女,36
丽莎·库卓,老友记  第七季 Friends Season 7,2000,actor3,drama,1963,女,37
丽莎·库卓,老友记  第八季 Friends Season 8,2001,actor3,drama,1963,女,38
莉顿·梅斯特,绯闻女孩 第一季 Gossip Girl Season 1,2007,actor2,drama,1986,女,21
莉顿·梅斯特,绯闻女孩  第二季 Gossip Girl Season 2,2008,actor2,drama,1986,女,22
琳达·卡德里尼,怪胎与书呆 Freaks and Geeks,1999,actor1,drama,1975,女,24
琳德西·冯塞卡,妮基塔 第一季 Nikita Season 1,2010,actor2,drama,1987,女,23
罗宾·怀特,纸牌屋 第一季 House of Cards Season 1,2013,actor2,drama,1966,女,47
罗宾·怀特,纸牌屋 第三季 House of Cards Season 3,2015,actor2,drama,1966,女,49
罗宾·怀特,纸牌屋 第二季 House of Cards Season 2,2014,actor2,drama,1966,女,48
洛南·布雷科,黑道家族 第一季 The Sopranos Season 1,1999,actor2,drama,1954,女,45
马克·瓦雷,波士顿法律 第一季 Boston Legal Season 1,2004,actor2,drama,1964,男,40
马特·勒布朗,老友记  第八季 Friends Season 8,2001,actor4,drama,1967,男,34
马特·勒布朗,老友记  第六季 Friends Season 6,1999,actor4,drama,1967,男,32
马特·勒布朗,老友记  第九季 Friends Season 9,2002,actor4,drama,1967,男,35
马特·勒布朗,老友记 第十季 Friends Season 10,2003,actor4,drama,1967,男,36
马特·勒布朗,老友记  第七季 Friends Season 7,2000,actor4,drama,1967,男,33
马修·福克斯,迷失 第一季 Lost Season 1,2004,actor1,drama,1966,男,38
马修·格雷·古柏勒,犯罪心理 第一季 Criminal Minds Season 1,2005,actor5,drama,1980,男,25
马修·麦康纳,真探 第一季 True Detective Season 1,2014,actor1,drama,1969,男,45
玛格·海尔金伯格,犯罪现场调查 第一季 CSI: Crime Scene Investigation Season 1,2000,actor2,drama,1958,女,42
玛西亚·克劳斯,绝望主妇 第一季 Desperate Housewives Season 1,2004,actor1,drama,1962,女,42
玛西亚·克劳斯,绝望主妇 第三季 Desperate Housewives Season 3,2006,actor3,drama,1962,女,44
迈克尔·C·豪尔,六尺之下 第一季 Six Feet Under Season 1,2001,actor2,drama,1971,男,30
迈克尔·爱默生,疑犯追踪  第一季 Person of Interest Season 1,2011,actor1,drama,1954,男,57
迈克尔·珊农,大西洋帝国 第一季 Boardwalk Empire Season 1,2010,actor5,drama,1974,男,36
麦肯兹·戴维斯,黑镜 第三季 Black Mirror Season 3,2016,actor2,drama,1987,女,29
麦茜·威廉姆斯,权力的游戏  第二季 Game of Thrones Season 2,2012,actor1,drama,1997,女,15
麦茜·威廉姆斯,权力的游戏 第三季 Game of Thrones Season 3,2013,actor1,drama,1997,女,16
麦茜·威廉姆斯,权力的游戏 第七季 Game of Thrones Season 7,2017,actor5,drama,1997,女,20
麦茜·威廉姆斯,权力的游戏 第六季 Game of Thrones Season 6,2016,actor1,drama,1997,女,19
麦斯·米科尔森,汉尼拔 第一季 Hannibal Season 1,2013,actor2,drama,1965,男,48
曼迪·摩尔,我们这一天 第一季 This Is Us Season 1,2016,actor1,drama,1984,女,32
曼迪·帕廷金,犯罪心理 第一季 Criminal Minds Season 1,2005,actor1,drama,1952,男,53
曼迪·帕廷金,犯罪心理 第一季 Criminal Minds Season 1,2005,actor1,drama,1952,男,53
梅丽尔·斯特里普,天使在美国 Angels in America,2003,actor2,drama,1949,女,54
米格尔·安赫尔·西尔维斯特,超感猎杀 第一季 Sense8 Season 1,2015,actor1,drama,1982,男,33
米洛·文堤米利亚,我们这一天 第一季 This Is Us Season 1,2016,actor2,drama,1977,男,39
米洛·文堤米利亚,英雄 第一季 Heroes Season 1,2006,actor4,drama,1977,男,29
内森·菲利安,萤火虫 Firefly,2002,actor1,drama,1971,男,31
妮娜·杜波夫,吸血鬼日记 第一季 The Vampire Diaries Season 1,2009,actor1,drama,1989,女,20
妮娜·杜波夫,吸血鬼日记  第二季 The Vampire Diaries Season 2,2010,actor1,drama,1989,女,21
尼尔·帕特里克·哈里斯,老爸老妈的浪漫史 第二季 How I Met Your Mother Season 2,2006,actor2,drama,1973,男,33
尼尔·帕特里克·哈里斯,老爸老妈的浪漫史 第一季 How I Met Your Mother Season 1,2005,actor4,drama,1973,男,32
尼古拉·科斯特-瓦尔道,权力的游戏 第五季 Game of Thrones Season 5,2015,actor5,drama,1970,男,45
