actress,drama/movie,year,age,douban_score,role,leading,award,nomination,source
马伊琍,理想万岁,1999,23,,actress,yes,,,
马伊琍,戏梦人生,1999,23,,actress,yes,,,
马伊琍,儿女英雄传,1999,23,7.7,actress,yes,,,
马伊琍,玻璃是透明的,1999,23,6.9,actress,yes,,,
马伊琍,香港岁月,1998,22,,actress,no,,,
马伊琍,天国洋将,1997,21,,actress,yes,,,
马伊琍,真空爱情记录,1996,20,7.7,actress,yes,,,
马伊琍,万岁！高三·二,1991,15,8,actress,yes,,,
宋佳,第十一回,2019,39,,actress,no,,,
宋佳,风中有朵雨做的云,2018,38,7.2,actress,yes,,,
宋佳,诗人,2018,38,,actress,yes,,,
宋佳,胖子行动队,2018,38,4.2,actress,no,,,
宋佳,建军大业,2017,37,-,actress,no,,,
宋佳,冰之下,2017,37,,actress,yes,,,
宋佳,拆弹专家,2017,37,6.3,actress,yes,,,
宋佳,二月十三,2017,37,,actress,yes,,,
宋佳,那年夏天你去了哪里,2016,36,4.7,actress,yes,,,
宋佳,至少还有你,2016,36,,actress,yes,,,
宋佳,陆垚知马俐,2016,36,5.4,actress,yes,,第31届中国电影金鸡奖 最佳女主角(提名),
宋佳,我的特工爷爷,2016,36,5.4,actress,no,,,
宋佳,少帅,2015,35,7.3,actress,yes,,第22届上海电视节白玉兰奖 电视连续剧 最佳女主角(提名),
宋佳,师父,2015,35,8.1,actress,yes,,,
宋佳,极品女士 第四季,2015,35,6.7,actress,no,,,
宋佳,嘿，老头！,2015,35,8,actress,yes,,,
宋佳,四十九日·祭,2014,34,8.3,actress,yes,,,
宋佳,爷们儿,2014,34,6.7,actress,yes,,,
宋佳,极品女士 第三季,2014,34,6.8,actress,no,,,
宋佳,我们这拨人,2013,33,6.3,actress,yes,,,
宋佳,小儿难养,2013,33,7.1,actress,yes,,,
宋佳,那样芬芳,2012,32,7.4,actress,yes,,,
宋佳,圣天门口,2012,32,7.6,actress,yes,,,
宋佳,萧红,2012,32,6.4,actress,yes,第29届中国电影金鸡奖 最佳女主角,第15届中国电影华表奖优秀女演员(提名),众创百娱
宋佳,热爱岛,2012,32,3.5,actress,yes,,,
宋佳,大男当婚,2012,32,8.1,actress,yes,,,
宋佳,悬崖,2012,32,8.3,actress,yes,第26届中国电视金鹰奖 观众最喜爱的电视剧女演员奖；第18届上海电视节-白玉兰奖最佳女主角,第29届中国电视剧飞天奖优秀女演员(提名),众创百娱
宋佳,午夜,2012,32,,actress,yes,,,
宋佳,遍地狼烟,2011,31,5.8,actress,yes,,,
宋佳,幸福速递,2011,31,7.3,actress,yes,,,
宋佳,风车,2011,31,8.4,actress,yes,,,
宋佳,孔子春秋,2010,30,8.3,actress,yes,,,
宋佳,西藏往事,2010,30,6.5,actress,yes,,,
宋佳,用心跳,2010,30,4.1,actress,no,,,
宋佳,白狼,2010,30,6.2,actress,yes,,,
宋佳,李小龙我的兄弟,2010,30,6.3,actress,no,,,
宋佳,大女当嫁,2010,30,7.7,actress,yes,,,
宋佳,红色摇篮,2010,30,7.4,actress,no,,,
宋佳,跟我的前妻谈恋爱,2009,29,7.7,actress,yes,,,
宋佳,雾里看花,2009,29,7.5,actress,yes,,,
宋佳,大内密探灵灵狗,2009,29,5.1,actress,yes,,,
宋佳,赤壁(下),2009,29,6.4,actress,no,,,
宋佳,最后的较量,2009,29,5.9,actress,yes,,,
宋佳,桃花运,2008,28,5.7,actress,yes,,,
宋佳,赤壁(上),2008,28,6.3,actress,no,,,
宋佳,闯关东,2008,28,9.1,actress,yes,,,
宋佳,救我,2008,28,5.8,actress,yes,,,
宋佳,天地民心,2008,28,8.3,actress,yes,,,
宋佳,红日,2008,28,6.7,actress,yes,,,
宋佳,中国往事,2008,28,7.9,actress,yes,,,
宋佳,爱情呼叫转移,2007,27,6.3,actress,no,,,
宋佳,故乡的云,2007,27,,actress,yes,,,
宋佳,大电影,2006,26,5.6,actress,yes,,,
宋佳,真情无限之继母,2006,26,5.6,actress,yes,,,
宋佳,好奇害死猫,2006,26,6.3,actress,yes,,第26届中国电影金鸡奖 最佳女配角(提名),
宋佳,谈谈心恋恋爱,2006,26,6.1,actress,yes,,,
宋佳,一生为奴,2005,25,7.8,actress,yes,,,
宋佳,天黑请闭眼,2004,24,4.7,actress,no,,,
宋佳,逆水寒,2004,24,8.4,actress,yes,,,
宋佳,非常浪漫,2003,23,6.2,actress,yes,,,
宋佳,出乎意料,2003,23,,actress,yes,,,
宋佳,出水芙蓉,2003,23,6.6,actress,yes,,,
宋佳,午夜惊魂,2003,23,3.6,actress,yes,,,
宋佳,王记大排档,2002,22,,actress,yes,,,
宋佳,可怜天下男人心,2002,22,8.2,actress,yes,,,
宋佳,原则,2002,22,,actress,no,,,
宋佳,越活越精彩,2002,22,8,actress,yes,,,
宋佳,其实不想走,2001,21,8.6,actress,yes,,,
宋佳,嫂娘,1998,18,,actress,yes,,,
